assay	context
NR3C1	EmbryonicKidney
NR3C1	Endometrium
NR3C1	Liver
NR3C1	Lung
NR3C1	Muscle
NR3C1	Prostate
NR4A1	BoneMarrow
NR5A2	Breast
NRF1	Blood
NRF1	BoneMarrow
NRF1	Brain
NRF1	Breast
NRF1	Cervix
NRF1	Embryo
NRF1	Liver
NRF1	MammaryGland
OGT	Colon
OGT	EmbryonicKidney
ORC1	Cervix
ORC2	BoneMarrow
OSR2	EmbryonicKidney
OTX2	Embryo
OVOL3	EmbryonicKidney
PAF1	Breast
PAF1	Colon
PAF1	Lung
PARP1	Kidney
PATZ1	EmbryonicKidney
PAX3	Muscle
PAX5	Blood
PAX8	Fallopiantubesecretory
PBX1	MammaryGland
PBX2	BoneMarrow
PBX2	Liver
PBX3	Blood
PBX3	Brain
PBX3	Liver
PBX3	Lung
PDX1	Embryo
PGR	Endometrium
PHF8	BoneMarrow
PHF8	Cervix
PHF8	Embryo
PHF8	EmbryonicKidney
PHF8	Foreskin
PHIP	EmbryonicKidney
PIAS1	Prostate
PITX3	Midbrain
PKNOX1	BoneMarrow
PLRG1	Liver
PML	Blood
PML	BoneMarrow
PML	Breast
POLR2A	Blood
POLR2A	Bone
POLR2A	BoneMarrow
POLR2A	Brain
POLR2A	Breast
POLR2A	Cervix
POLR2A	Colon
POLR2A	Embryo
POLR2A	EmbryonicKidney
POLR2A	Endometrium
POLR2A	FetalLiver
POLR2A	Foreskin
POLR2A	Heart
POLR2A	Kidney
POLR2A	Liver
POLR2A	Lung
POLR2A	MammaryGland
POLR2A	Muscle
POLR2A	Pancreas
POLR2A	Pleura
POLR2A	Pontine
POLR2A	Prostate
POLR2A	Retina
POLR2A	SigmoidColon
POLR2A	Skin
POLR2A	Stomach
POLR2A	UmbilicalVein
POLR2A	Uterus
POLR2A	endometrioidadenocarcinoma
POLR2A	gastroesophagealsphincter
POLR2B	Cervix
POLR2B	Lung
POLR2H	BoneMarrow
POLR2M	Cervix
POLR3A	BoneMarrow
POLR3A	Cervix
POLR3D	FetalLung
POLR3D	Lung
POU2F2	Blood
POU5F1	Embryo
POU5F1	Skin
PPARG	Adipose
PPARG	Blood
PR	Breast
PR	MammaryGland
PRAME	BoneMarrow
PRDM1	Cervix
PRDM1	EmbryonicKidney
PRDM10	EmbryonicKidney
PRDM14	Embryo
PRDM2	EmbryonicKidney
PRDM6	EmbryonicKidney
PRMT5	Breast
PROX1	Colon
PROX1	UmbilicalVein
PTPN11	Lung
PTRF	BoneMarrow
PTTG1	BoneMarrow
PYGO2	BoneMarrow
RAC3	MammaryGland
RAD21	Blood
RAD21	BoneMarrow
RAD21	Brain
RAD21	Breast
RAD21	Cervix
RAD21	Colon
RAD21	Embryo
RAD21	Endometrium
RAD21	Liver
RAD21	Lung
RAD21	UmbilicalVein
RAD51	BoneMarrow
RAD51	Liver
RARA	Blood
RARA	BoneMarrow
RARA	Breast
RARG	Breast
RB1	Cervix
RB1	Lung
RBBP5	BoneMarrow
RBBP5	Embryo
RBCK1	Colon
RBL1	Lung
RBL2	Lung
RBP2	Pleura
RBPJ	Blood
RCOR1	Blood
RCOR1	BoneMarrow
RCOR1	Breast
RCOR1	Cervix
RCOR1	Foreskin
RCOR1	Liver
RCOR1	Lung
RELA	Blood
RELA	BoneMarrow
RELA	Breast
RELA	Cervix
RELA	Colon
RELA	Liver
RELA	Lung
RELA	Prostate
RELA	UmbilicalVein
REPIN1	Blood
REPIN1	Colon
REPIN1	Prostate
REST	AdrenalGland
REST	Blood
REST	BoneMarrow
REST	Brain
REST	Breast
REST	Cervix
REST	Colon
REST	Embryo
REST	EmbryonicKidney
REST	Endometrium
REST	Liver
REST	Lung
REST	Pancreas
RFX1	BoneMarrow
RFX1	Breast
RFX1	Colon
RFX2	Colon
RFX5	Blood
RFX5	BoneMarrow
RFX5	Brain
RFX5	Cervix
RFX5	Embryo
RFX5	Liver
RFX5	Lung
RING1	Foreskin
RING1	Prostate
RNF2	BoneMarrow
RNF2	Embryo
RNF2	EmbryonicKidney
RNF2	Foreskin
RNF2	Liver
RNF2	Prostate
RPE	Retina
RUNX1	Blood
RUNX1	BoneMarrow
RUNX1	Breast
RUNX1	Cordblood
RUNX1	FetalLiver
RUNX1	Kidney
RUNX1	Pleura
RUNX1	Prostate
RUNX1T1	Blood
RUNX2	Prostate
RUNX3	Blood
RUVBL1	Liver
RXRA	Blood
RXRA	Brain
RXRA	Breast
RXRA	Colon
RXRA	Embryo
RXRA	Liver
RXRG	Blood
RXRG	BoneMarrow
SAP30	BoneMarrow
SAP30	Embryo
SATB1	Liver
SCML2	BoneMarrow
SCRT1	EmbryonicKidney
SCRT2	EmbryonicKidney
SETDB1	Bone
SETDB1	BoneMarrow
SETDB1	Cervix
SETDB1	Skin
SFPQ	Breast
SIN3A	Blood
SIN3A	BoneMarrow
SIN3A	Brain
SIN3A	Breast
SIN3A	Colon
SIN3A	Embryo
SIN3A	Liver
SIN3A	Lung
SIN3A	Pancreas
SIRT6	BoneMarrow
SIX1	EmbryonicKidney
SIX1	Kidney
SIX2	EmbryonicKidney
SIX2	Kidney
SIX5	Blood
SIX5	BoneMarrow
SIX5	Embryo
SIX5	Lung
SMAD1	Blood
SMAD1	BoneMarrow
SMAD1	Embryo
SMAD1	Pleura
SMAD2	Embryo
SMAD3	Embryo
SMAD3	Lung
SMAD4	Embryo
SMAD4	Liver
SMAD4	Lung
SMAD5	Blood
SMARCA2	Brain
SMARCA4	Blood
SMARCA4	BoneMarrow
SMARCA4	Brain
SMARCA4	Embryo
SMARCA4	Liver
SMARCA4	MammaryGland
SMARCA4	epithelioidsarcoma
SMARCA5	BoneMarrow
SMARCB1	BoneMarrow
